split,date,feature_set,model,seed,auc,brier
1,2025-11-26,base_only,elastic_logistic_c1_l25,0,0.6256228571428573,0.24498302276513811
1,2025-11-28,base_only,elastic_logistic_c1_l25,0,0.5859944849670877,0.24781758906916654
1,2025-12-01,base_only,elastic_logistic_c1_l25,0,0.5540736607142857,0.2479731343010463
1,2025-12-02,base_only,elastic_logistic_c1_l25,0,0.5470243327139821,0.24848181444055342
1,2025-12-03,base_only,elastic_logistic_c1_l25,0,0.49776783216783216,0.24921252781662637
1,2025-12-04,base_only,elastic_logistic_c1_l25,0,0.4946943972835314,0.24701972961069957
1,2025-12-05,base_only,elastic_logistic_c1_l25,0,0.49509270592501925,0.24831931951688374
1,2025-12-08,base_only,elastic_logistic_c1_l25,0,0.4635872601974297,0.24776709829088067
1,2025-12-09,base_only,elastic_logistic_c1_l25,0,0.47668740915697677,0.2486654942727269
1,2025-12-10,base_only,elastic_logistic_c1_l25,0,0.5135620398391978,0.2521778288917574
1,2025-12-11,base_only,elastic_logistic_c1_l25,0,0.4858413090460018,0.2555520847907985
1,2025-12-12,base_only,elastic_logistic_c1_l25,0,0.4613482517482517,0.25299262727853206
1,2025-12-15,base_only,elastic_logistic_c1_l25,0,0.5354285714285715,0.24659178580619776
1,2025-12-16,base_only,elastic_logistic_c1_l25,0,0.4607040821267735,0.24655682075216853
1,2025-12-17,base_only,elastic_logistic_c1_l25,0,0.5684042889111602,0.24030120901472932
1,2025-12-18,base_only,elastic_logistic_c1_l25,0,0.5464567378314009,0.2406115182964363
1,2025-12-19,base_only,elastic_logistic_c1_l25,0,0.4612519251662508,0.24705779924051982
1,2025-12-22,base_only,elastic_logistic_c1_l25,0,0.5006430572780305,0.2536048336423975
1,2025-12-23,base_only,elastic_logistic_c1_l25,0,0.5690447515212982,0.2581650778849962
1,2025-12-24,base_only,elastic_logistic_c1_l25,0,0.5229186602870813,0.2538684845023874
1,2025-11-26,base_only,ridge_logistic_c01,0,0.6258057142857143,0.2449815239469353
1,2025-11-28,base_only,ridge_logistic_c01,0,0.5873287671232876,0.24780244977153962
1,2025-12-01,base_only,ridge_logistic_c01,0,0.555546875,0.24795024662328993
1,2025-12-02,base_only,ridge_logistic_c01,0,0.5490158991533061,0.24844336255071137
1,2025-12-03,base_only,ridge_logistic_c01,0,0.4993566433566433,0.24916728340551766
1,2025-12-04,base_only,ridge_logistic_c01,0,0.4956494057724957,0.24699529922355
1,2025-12-05,base_only,ridge_logistic_c01,0,0.49533070402103446,0.24831675924066546
1,2025-12-08,base_only,ridge_logistic_c01,0,0.4625628608679456,0.24778786499459993
1,2025-12-09,base_only,ridge_logistic_c01,0,0.47531340843023256,0.2486885194134856
1,2025-12-10,base_only,ridge_logistic_c01,0,0.5118569041058765,0.25220672345397493
1,2025-12-11,base_only,ridge_logistic_c01,0,0.48559431923433155,0.2555599758399473
1,2025-12-12,base_only,ridge_logistic_c01,0,0.46196363636363635,0.25297118410685027
1,2025-12-15,base_only,ridge_logistic_c01,0,0.53608,0.24659091086021714
1,2025-12-16,base_only,ridge_logistic_c01,0,0.46032879763691825,0.24657577546295972
1,2025-12-17,base_only,ridge_logistic_c01,0,0.5681022529139609,0.24034643472105804
1,2025-12-18,base_only,ridge_logistic_c01,0,0.5463569075428913,0.24065561011659667
1,2025-12-19,base_only,ridge_logistic_c01,0,0.46065497439081177,0.24707404540375227
1,2025-12-22,base_only,ridge_logistic_c01,0,0.5006775067750678,0.25358386102766856
1,2025-12-23,base_only,ridge_logistic_c01,0,0.5685218052738338,0.25813898139668184
1,2025-12-24,base_only,ridge_logistic_c01,0,0.5231818181818182,0.2538497523822261
1,2025-11-26,base_only,tanh_mlp_16_8,442,0.5351314285714286,0.2528877122383436
1,2025-11-28,base_only,tanh_mlp_16_8,442,0.4819204767834905,0.2554586709815961
1,2025-12-01,base_only,tanh_mlp_16_8,442,0.4518191964285714,0.25867784373087216
1,2025-12-02,base_only,tanh_mlp_16_8,442,0.4476685321376518,0.2570174117932193
1,2025-12-03,base_only,tanh_mlp_16_8,442,0.4563804195804196,0.25627873172774573
1,2025-12-04,base_only,tanh_mlp_16_8,442,0.4954607621203546,0.25269322596120264
1,2025-12-05,base_only,tanh_mlp_16_8,442,0.4637562899496803,0.25375500394494704
1,2025-12-08,base_only,tanh_mlp_16_8,442,0.5186720059601415,0.25082033243839075
1,2025-12-09,base_only,tanh_mlp_16_8,442,0.49987509084302323,0.2500751116700329
1,2025-12-10,base_only,tanh_mlp_16_8,442,0.5176159718144451,0.25028719119749027
1,2025-12-11,base_only,tanh_mlp_16_8,442,0.516776782957703,0.25144547075661106
1,2025-12-12,base_only,tanh_mlp_16_8,442,0.5297678321678321,0.25006618191614954
1,2025-12-15,base_only,tanh_mlp_16_8,442,0.4893828571428571,0.2533860025682458
1,2025-12-16,base_only,tanh_mlp_16_8,442,0.48474650138007847,0.25430652953263705
1,2025-12-17,base_only,tanh_mlp_16_8,442,0.52403245514079,0.24898576440982623
1,2025-12-18,base_only,tanh_mlp_16_8,442,0.5454299120067314,0.24780150674002618
1,2025-12-19,base_only,tanh_mlp_16_8,442,0.48245561670984616,0.2541088100419371
1,2025-12-22,base_only,tanh_mlp_16_8,442,0.5319806164163337,0.25250501863014413
1,2025-12-23,base_only,tanh_mlp_16_8,442,0.5594415567951319,0.25248871636936115
1,2025-12-24,base_only,tanh_mlp_16_8,442,0.5311722488038277,0.2508719772349765
1,2025-11-26,base_only,tanh_mlp_16_8,2025,0.6007085714285714,0.24471035301665522
1,2025-11-28,base_only,tanh_mlp_16_8,2025,0.5661136808397081,0.247529719543188
1,2025-12-01,base_only,tanh_mlp_16_8,2025,0.5465066964285714,0.24887858094030216
1,2025-12-02,base_only,tanh_mlp_16_8,2025,0.5012850610264912,0.25187010325975356
1,2025-12-03,base_only,tanh_mlp_16_8,2025,0.4761958041958042,0.25353692545428147
1,2025-12-04,base_only,tanh_mlp_16_8,2025,0.49089794378419166,0.25081733955623503
1,2025-12-05,base_only,tanh_mlp_16_8,2025,0.46910558048868944,0.2525461275044005
1,2025-12-08,base_only,tanh_mlp_16_8,2025,0.4674753212888806,0.25283641051278943
1,2025-12-09,base_only,tanh_mlp_16_8,2025,0.46828442950581395,0.25264863819011957
1,2025-12-10,base_only,tanh_mlp_16_8,2025,0.4786914494782962,0.25557695107983475
1,2025-12-11,base_only,tanh_mlp_16_8,2025,0.49102809509107753,0.25812309825139956
1,2025-12-12,base_only,tanh_mlp_16_8,2025,0.5163412587412587,0.25372551577169333
1,2025-12-15,base_only,tanh_mlp_16_8,2025,0.49117714285714287,0.2516044594817013
1,2025-12-16,base_only,tanh_mlp_16_8,2025,0.465873323325747,0.254077860322423
1,2025-12-17,base_only,tanh_mlp_16_8,2025,0.5206551435357432,0.24492544087843116
1,2025-12-18,base_only,tanh_mlp_16_8,2025,0.5323806671515566,0.2447565129969029
1,2025-12-19,base_only,tanh_mlp_16_8,2025,0.44696092360223977,0.25528577288906595
1,2025-12-22,base_only,tanh_mlp_16_8,2025,0.5132630563593772,0.2550522005065706
1,2025-12-23,base_only,tanh_mlp_16_8,2025,0.5787430273833671,0.25780954000395573
1,2025-12-24,base_only,tanh_mlp_16_8,2025,0.563767942583732,0.2515239519142982
1,2025-11-26,base_only,tanh_mlp_16_8,9001,0.5731885714285714,0.24689030311194435
1,2025-11-28,base_only,tanh_mlp_16_8,9001,0.548745774773172,0.24848798562528407
1,2025-12-01,base_only,tanh_mlp_16_8,9001,0.5573325892857143,0.2487040129332042
1,2025-12-02,base_only,tanh_mlp_16_8,9001,0.5479477964819368,0.24811329917860017
1,2025-12-03,base_only,tanh_mlp_16_8,9001,0.5047608391608391,0.25217576982593337
1,2025-12-04,base_only,tanh_mlp_16_8,9001,0.50149735898887,0.2533095443258646
1,2025-12-05,base_only,tanh_mlp_16_8,9001,0.447583752663312,0.2565828889167738
1,2025-12-08,base_only,tanh_mlp_16_8,9001,0.4441702365431179,0.2569914259906629
1,2025-12-09,base_only,tanh_mlp_16_8,9001,0.4595975654069767,0.25546847920478066
1,2025-12-10,base_only,tanh_mlp_16_8,9001,0.4678169745697638,0.2555139439016397
1,2025-12-11,base_only,tanh_mlp_16_8,9001,0.4926335288669342,0.2552098442911267
1,2025-12-12,base_only,tanh_mlp_16_8,9001,0.5243300699300699,0.2519114044352881
1,2025-12-15,base_only,tanh_mlp_16_8,9001,0.48910857142857145,0.2531794211724876
1,2025-12-16,base_only,tanh_mlp_16_8,9001,0.46336739140961697,0.2562594113751038
1,2025-12-17,base_only,tanh_mlp_16_8,9001,0.5113057565315284,0.25067098329744797
1,2025-12-18,base_only,tanh_mlp_16_8,9001,0.5202441563627547,0.25142800727231013
1,2025-12-19,base_only,tanh_mlp_16_8,9001,0.4713523322866797,0.25774487300615245
1,2025-12-22,base_only,tanh_mlp_16_8,9001,0.5339786872444996,0.2497173174214102
1,2025-12-23,base_only,tanh_mlp_16_8,9001,0.6036701318458417,0.24908964148142984
1,2025-12-24,base_only,tanh_mlp_16_8,9001,0.5479665071770334,0.24973677928674487
1,2025-11-26,base_plus_crowding,elastic_logistic_c1_l25,0,0.6304457142857143,0.24490669433965007
1,2025-11-28,base_plus_crowding,elastic_logistic_c1_l25,0,0.5947117950542609,0.24766969383219656
1,2025-12-01,base_plus_crowding,elastic_logistic_c1_l25,0,0.5620535714285715,0.2477864593561756
1,2025-12-02,base_plus_crowding,elastic_logistic_c1_l25,0,0.548804503832931,0.24843732109327787
1,2025-12-03,base_plus_crowding,elastic_logistic_c1_l25,0,0.4964475524475524,0.24922565495186608
1,2025-12-04,base_plus_crowding,elastic_logistic_c1_l25,0,0.4944232220335786,0.24712078778290783
1,2025-12-05,base_plus_crowding,elastic_logistic_c1_l25,0,0.494390044879641,0.24836248944902684
1,2025-12-08,base_plus_crowding,elastic_logistic_c1_l25,0,0.4638899236356863,0.24779584542847635
1,2025-12-09,base_plus_crowding,elastic_logistic_c1_l25,0,0.47214525799418605,0.24880759683513873
1,2025-12-10,base_plus_crowding,elastic_logistic_c1_l25,0,0.5152558832828944,0.25213404210144236
1,2025-12-11,base_plus_crowding,elastic_logistic_c1_l25,0,0.484137079345477,0.25550875384776933
1,2025-12-12,base_plus_crowding,elastic_logistic_c1_l25,0,0.4628587412587412,0.25290140175694015
1,2025-12-15,base_plus_crowding,elastic_logistic_c1_l25,0,0.5357828571428571,0.24656889099926863
1,2025-12-16,base_plus_crowding,elastic_logistic_c1_l25,0,0.46356108663018736,0.24648619131002622
1,2025-12-17,base_plus_crowding,elastic_logistic_c1_l25,0,0.5688024272711047,0.2402415167028594
1,2025-12-18,base_plus_crowding,elastic_logistic_c1_l25,0,0.5471270269113935,0.24055649138340565
1,2025-12-19,base_plus_crowding,elastic_logistic_c1_l25,0,0.45660764813333493,0.24723504960531373
1,2025-12-22,base_plus_crowding,elastic_logistic_c1_l25,0,0.4978641311836847,0.2536735942937409
1,2025-12-23,base_plus_crowding,elastic_logistic_c1_l25,0,0.5662557048681541,0.25810090469744645
1,2025-12-24,base_plus_crowding,elastic_logistic_c1_l25,0,0.5205263157894737,0.25380206870267347
1,2025-11-26,base_plus_crowding,ridge_logistic_c01,0,0.6307085714285714,0.24490545007479753
1,2025-11-28,base_plus_crowding,ridge_logistic_c01,0,0.5948785803237857,0.24767099789743507
1,2025-12-01,base_plus_crowding,ridge_logistic_c01,0,0.5622767857142856,0.24778225102897058
1,2025-12-02,base_plus_crowding,ridge_logistic_c01,0,0.5490826555702666,0.24842715877604207
1,2025-12-03,base_plus_crowding,ridge_logistic_c01,0,0.49654825174825173,0.24921737276033085
1,2025-12-04,base_plus_crowding,ridge_logistic_c01,0,0.4947415581965667,0.24711189637939593
1,2025-12-05,base_plus_crowding,ridge_logistic_c01,0,0.4944693775783127,0.24835953056998647
1,2025-12-08,base_plus_crowding,ridge_logistic_c01,0,0.4637967964239151,0.24779305321886946
1,2025-12-09,base_plus_crowding,ridge_logistic_c01,0,0.472156613372093,0.2488054015558741
1,2025-12-10,base_plus_crowding,ridge_logistic_c01,0,0.5152220064140205,0.25214022969323047
1,2025-12-11,base_plus_crowding,ridge_logistic_c01,0,0.4843593701759802,0.2555137533630427
1,2025-12-12,base_plus_crowding,ridge_logistic_c01,0,0.46298181818181816,0.2528975645298656
1,2025-12-15,base_plus_crowding,ridge_logistic_c01,0,0.5360228571428571,0.24656839185190668
1,2025-12-16,base_plus_crowding,ridge_logistic_c01,0,0.46360951043533005,0.24648265966884286
1,2025-12-17,base_plus_crowding,ridge_logistic_c01,0,0.5686102225456142,0.24024275056760155
1,2025-12-18,base_plus_crowding,ridge_logistic_c01,0,0.5471412883811806,0.24055272670146247
