split,feature_set,model,seed,train_dates,test_dates,train_rows,test_rows,auc,brier,log_loss,ece_10,mean_excess_return,win_rate,mean_turnover,worst_net_return
1,base_only,elastic_logistic_c1_l25,0,270,20,162000,12000,0.5234945265078004,0.24888599000923212,0.6909172444526436,0.01469220988737837,-0.0026950068355445843,0.5,0.75,-0.050815751655592316
1,base_only,ridge_logistic_c01,0,270,20,162000,12000,0.523545801680069,0.2488843281971114,0.690913862677589,0.014723442252618216,-0.006744150357912784,0.25,0.75,-0.050815751655592316
1,base_only,tanh_mlp_16_8,442,270,20,162000,12000,0.5037696731529806,0.25269586069418776,0.698643302413658,0.0441047123727146,-0.0031399814916399003,0.5,0.725,-0.013464425015773189
1,base_only,tanh_mlp_16_8,2025,270,20,162000,12000,0.5077871484231657,0.25189177510370003,0.6970805904504277,0.037407774627002205,0.0017752658423727222,0.5,0.8500000000000001,-0.011568324711782025
1,base_only,tanh_mlp_16_8,9001,270,20,162000,12000,0.5071772276002291,0.2523592668027094,0.697959013812764,0.041391914577543105,0.003852284581426165,0.5,0.75,-0.008044827925571051
1,base_plus_crowding,elastic_logistic_c1_l25,0,270,20,162000,12000,0.5244378335378159,0.24886607242348008,0.690876972579213,0.014923163497568656,-0.007050765051835461,0.25,0.725,-0.05071575165559232
1,base_plus_crowding,ridge_logistic_c01,0,270,20,162000,12000,0.5245238776822541,0.2488641666111792,0.6908731510701464,0.014911282101487268,-0.0071302200636268066,0.25,0.7,-0.05071575165559232
1,base_plus_crowding,tanh_mlp_16_8,442,270,20,162000,12000,0.5127891404594261,0.25081579402970094,0.6948718487052499,0.02413040002894092,0.004824371629903986,0.75,0.7,-0.010208647455510764
1,base_plus_crowding,tanh_mlp_16_8,2025,270,20,162000,12000,0.50759679736222,0.25165800248563563,0.69654963685456,0.03402925460534092,0.00020797904009162344,0.5,0.9,-0.013386452405470727
1,base_plus_crowding,tanh_mlp_16_8,9001,270,20,162000,12000,0.49847101562844387,0.25252230873680553,0.698307858842957,0.04324230503544555,0.00438801417867561,0.75,0.875,-0.01658831872082841
1,base_plus_regime,elastic_logistic_c1_l25,0,270,20,162000,12000,0.5282511561101478,0.2487881569482741,0.6907211926962115,0.01505662190426497,-0.0042177920748673586,0.25,0.725,-0.03514552016623662
1,base_plus_regime,ridge_logistic_c01,0,270,20,162000,12000,0.5283449235948351,0.2487861817511718,0.6907172146494167,0.015473105988053147,-0.00421779207486736,0.25,0.725,-0.03514552016623662
1,base_plus_regime,tanh_mlp_16_8,442,270,20,162000,12000,0.5107616381745581,0.2505982150821475,0.6943862135751357,0.02412835329053509,0.006512736783068798,0.5,0.725,-0.014630760097204546
1,base_plus_regime,tanh_mlp_16_8,2025,270,20,162000,12000,0.5039787330995122,0.25196253660908935,0.6971837109308399,0.03651452199320105,0.005842365973978275,0.75,0.875,-0.004183486101138332
1,base_plus_regime,tanh_mlp_16_8,9001,270,20,162000,12000,0.5077091343220194,0.2522868909590117,0.6978632615107757,0.0434638002299406,0.00744073991021619,0.5,0.7749999999999999,-0.011376613156920675
1,graph_survivors,elastic_logistic_c1_l25,0,270,20,162000,12000,0.5272219443461678,0.24875214580056002,0.6906479184732168,0.01799009170273747,0.01267331556514929,0.75,0.875,-0.035532466465996754
1,graph_survivors,ridge_logistic_c01,0,270,20,162000,12000,0.5271752976016296,0.24875368361742933,0.6906510355659612,0.018081627449501616,0.00724122022927034,0.75,0.85,-0.04814501296922591
1,graph_survivors,tanh_mlp_16_8,442,270,20,162000,12000,0.5082780963477496,0.2524350665823558,0.6981405478727635,0.04200056308773576,-0.00020065754275835383,0.75,0.775,-0.012892202925080355
