split,feature_set,model,seed,train_dates,test_dates,train_rows,test_rows,auc,brier,log_loss,ece_10,mean_excess_return,win_rate,mean_turnover,worst_net_return
1,graph_survivors_placebo,elastic_logistic_c1_l25,117,270,20,162000,12000,0.5216105054825817,0.2490658913490575,0.691279752389828,0.01618327974730368,-0.0047632258343550055,0.25,0.525,-0.04061030984558694
1,graph_survivors_placebo,tanh_mlp_16_8,117,270,20,162000,12000,0.5242869356409596,0.2488077802167373,0.690754396784294,0.013949363896763767,0.011038075644181973,0.75,0.65,-0.003717425783251604
1,graph_survivors_placebo,elastic_logistic_c1_l25,442,270,20,162000,12000,0.5194150972230521,0.24909992259564998,0.6913467192081401,0.017754567492145303,-0.0027600034619461745,0.25,0.525,-0.04061030984558694
1,graph_survivors_placebo,tanh_mlp_16_8,442,270,20,162000,12000,0.514465969638462,0.2502245633999005,0.6936136439033976,0.026354401478004205,-0.00237234137291881,0.5,0.8,-0.025895591062055457
1,graph_survivors_placebo,elastic_logistic_c1_l25,8080,270,20,162000,12000,0.5218191471976918,0.24899864614268344,0.6911437236456424,0.016767554316508868,-0.006741679029862534,0.25,0.5,-0.04498079554916567
1,graph_survivors_placebo,tanh_mlp_16_8,8080,270,20,162000,12000,0.5312118442246325,0.24889827032349682,0.6909397457951694,0.023279852270793874,0.006568114343705939,0.75,0.675,-0.008334388389709216
1,graph_survivors_placebo,elastic_logistic_c1_l25,9001,270,20,162000,12000,0.5254352597137663,0.24892090680755238,0.6909872218721909,0.018897510706538424,0.007623804127395759,0.75,0.75,-0.035766850819433364
1,graph_survivors_placebo,tanh_mlp_16_8,9001,270,20,162000,12000,0.5180697025044618,0.24898858692445103,0.6911217283269578,0.016860292331817104,0.007518941709590621,0.75,0.775,-0.005804580406128767
1,graph_survivors_placebo,elastic_logistic_c1_l25,2025,270,20,162000,12000,0.5249213927072875,0.24891766302965274,0.6909806961866455,0.01796225285220767,-0.0047819492410574186,0.25,0.6,-0.044499498420305275
1,graph_survivors_placebo,tanh_mlp_16_8,2025,270,20,162000,12000,0.5237884874328846,0.24956852844098443,0.6922874212139107,0.029184381120392056,0.00451339129368401,0.5,0.675,-0.013496410682369033
2,graph_survivors_placebo,elastic_logistic_c1_l25,117,290,20,174000,12000,0.4673142174645916,0.24973231282739902,0.6926173603545953,0.024106442522477407,-0.0019496034246140864,0.25,0.425,-0.022578745299534825
2,graph_survivors_placebo,tanh_mlp_16_8,117,290,20,174000,12000,0.47387356296189675,0.24983035466138478,0.6928241871503618,0.017550858085712183,0.011347491027725615,0.5,0.7249999999999999,-0.008115370364975354
2,graph_survivors_placebo,elastic_logistic_c1_l25,442,290,20,174000,12000,0.4722580644800016,0.24948326204438734,0.6921169694732443,0.02395316352721448,0.004982958282658518,0.5,0.575,-0.02233305251733218
