split,strategy,placebo_seed,auc,brier,log_loss,ece_10,mean_excess_return,win_rate,mean_turnover,worst_net_return
1,plain,,0.5272684237981374,0.24889007112263858,0.6909274361030491,0.015283646294011187,-0.011626594757962407,0.25,0.5249999999999999,-0.05655909366390888
1,similarity_weighted,,0.514939268197061,0.2492422422561709,0.6916322903059307,0.016293252257906652,-0.0052720660416649915,0.25,0.65,-0.04163449549669672
1,neighbor_placebo,117.0,0.5251042992489316,0.24897899535625567,0.6911051778151459,0.01592735339314741,-0.013437409445390784,0.25,0.6000000000000001,-0.05476478572675568
1,neighbor_placebo,442.0,0.525524398770723,0.2488700361823381,0.6908863212095055,0.0155720866355858,-0.013029567076938947,0.25,0.6000000000000001,-0.0582780404599202
1,neighbor_placebo,2025.0,0.5161896686187943,0.24912284353113617,0.6913931356057281,0.01533476775966057,-0.008550424885368786,0.25,0.575,-0.05655909366390888
1,neighbor_placebo,8080.0,0.5273497837506553,0.24884247105736837,0.6908311546008082,0.01578062697896783,-0.006575655163497486,0.5,0.6000000000000001,-0.055148226612641044
1,neighbor_placebo,9001.0,0.5186300210808154,0.24905481001518456,0.6912565656908473,0.015196416063547718,-0.008523483156855262,0.25,0.575,-0.03731133330699461
2,plain,,0.4693080347299555,0.2500171653964943,0.6931943895047327,0.023359945100304445,-0.009322382640316852,0.25,0.5,-0.027907116163472582
2,similarity_weighted,,0.4727112798550763,0.2502710695971214,0.693700413471459,0.024885246850082497,-0.011100468139083892,0.25,0.525,-0.03540311454656714
2,neighbor_placebo,117.0,0.4726384551691822,0.25003767173480795,0.6932329939247959,0.024199380014684708,-0.0025831366168878097,0.25,0.525,-0.017816020313366272
2,neighbor_placebo,442.0,0.471599926430548,0.2500581741296991,0.6932738846286536,0.02404957552024088,-0.007713872952932555,0.25,0.5,-0.028295073454000626
2,neighbor_placebo,2025.0,0.4725085130825867,0.2501124718918019,0.6933839539323581,0.024226204185150327,-0.006256441188251198,0.25,0.525,-0.020344315443354907
2,neighbor_placebo,8080.0,0.48277306996313213,0.2497648270613944,0.6926861653681972,0.024129769931896854,-0.0003966442929004994,0.5,0.525,-0.02008695156197565
2,neighbor_placebo,9001.0,0.4744333134887697,0.2500108155676058,0.6931795742701713,0.024269265661361037,-0.005261334483823654,0.25,0.575,-0.02006444627803688
3,plain,,0.43763189275640857,0.2507032624035723,0.6945768628629598,0.023038973799594183,-0.029081437855518824,0.25,0.7250000000000001,-0.0830230017720874
3,similarity_weighted,,0.4398975183454735,0.25128862888509346,0.6957473437738322,0.024235192563514446,-0.02151603905067713,0.25,0.8,-0.07711294959471998
3,neighbor_placebo,117.0,0.43739523664475954,0.25121323610912777,0.6955976281490962,0.023658664993066462,-0.0236656247836568,0.0,0.7749999999999999,-0.07170429235756237
3,neighbor_placebo,442.0,0.4441654289848209,0.25103436950501734,0.6952392509855475,0.023637397625055134,-0.02702543104254022,0.0,0.75,-0.0797310874368652
3,neighbor_placebo,2025.0,0.4388967402085181,0.2510926069003098,0.6953538538114029,0.023450148716074957,-0.025239960507601106,0.25,0.75,-0.07739882527354039
3,neighbor_placebo,8080.0,0.4453998360084986,0.25094355999937856,0.6950567549468918,0.023444442367416427,-0.03486839323202359,0.0,0.75,-0.10284249880966106
3,neighbor_placebo,9001.0,0.43675553916992205,0.25125640842906044,0.6956842030574137,0.023632147823564088,-0.021600530156854748,0.25,0.7749999999999999,-0.06740609687192957
4,plain,,0.4968590022291698,0.259357635971285,0.7118916230052984,0.17668709487548473,0.020491942059843775,0.75,0.875,-0.02226954737978993
4,similarity_weighted,,0.496736416309335,0.2594506146572664,0.7120861332791031,0.17631630475317048,0.011215735376669138,0.75,0.95,-0.030757961722145552
